position[nm]  e33[C/m^2]  e31[C/m^2]  e15[C/m^2]  B311[C/m^2]  B312[C/m^2]  B313[C/m^2]  B333[C/m^2]  B115[C/m^2]  B125[C/m^2]  B135[C/m^2]  B344[C/m^2]
    0.505000E+002    0.121000E+001   -0.394000E+000   -0.336000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.507000E+002    0.121000E+001   -0.394000E+000   -0.336000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.509000E+002    0.121000E+001   -0.394000E+000   -0.336000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.511000E+002    0.121000E+001   -0.394000E+000   -0.336000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.513000E+002    0.121000E+001   -0.394000E+000   -0.336000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.515000E+002    0.121000E+001   -0.394000E+000   -0.336000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.517000E+002    0.121000E+001   -0.394000E+000   -0.336000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.519000E+002    0.121000E+001   -0.394000E+000   -0.336000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.522000E+002    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.526000E+002    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.530000E+002    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.534000E+002    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.538000E+002    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.557500E+002    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.592500E+002    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.627500E+002    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.662500E+002    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.682000E+002    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.686000E+002    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.690000E+002    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.694000E+002    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.698000E+002    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.701429E+002    0.121000E+001   -0.394000E+000   -0.336000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.704286E+002    0.121000E+001   -0.394000E+000   -0.336000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
